Farmer_ID,Region,Crop_Type,Land_Size_ha,Fertilizer_Type,Fertilizer_Quantity_kg,Fertilizer_Cost_RWF,Yield_kg,Market_Price_RWF_per_kg,Total_Revenue_RWF,Net_Profit_RWF
F_044,Eastern,Beans,1.1,Chemical,59.6,28458.0,1813.0,350,634550.0,606092.0
F_045,Eastern,Beans,4.86,Chemical,43.4,29328.0,2630.0,400,1052000.0,1022672.0
F_046,Kigali,Potatoes,3.72,Chemical,56.9,26063.0,3023.0,300,906900.0,880837.0
F_047,Eastern,Potatoes,0.68,None,59.8,29159.0,2350.0,450,1057500.0,1028341.0
F_048,Western,Cassava,2.29,Chemical,30.6,24053.0,3937.0,400,1574800.0,1550747.0
F_049,Eastern,Cassava,2.45,Organic,45.9,24602.0,2838.0,350,993300.0,968698.0
F_050,Southern,Beans,3.85,None,59.1,16047.0,1659.0,300,497700.0,481653.0
F_051,Southern,Cassava,1.63,Chemical,75.6,27382.0,1574.0,300,472200.0,444818.0
F_052,Southern,Maize,1.33,None,62.4,11244.0,3606.0,450,1622700.0,1611456.0
F_053,Southern,Cassava,0.86,Organic,76.6,27268.0,1513.0,250,378250.0,350982.0
F_054,Western,Cassava,2.43,Chemical,44.0,22755.0,3316.0,350,1160600.0,1137845.0
F_055,Northern,Maize,3.6,Chemical,53.8,27997.0,3445.0,450,1550250.0,1522253.0
F_056,Kigali,Beans,0.76,Organic,62.1,16609.0,2005.0,350,701750.0,685141.0
F_057,Southern,Maize,4.62,Chemical,15.1,8045.0,3891.0,250,972750.0,964705.0
F_058,Eastern,Cassava,2.49,None,72.7,22193.0,1282.0,250,320500.0,298307.0
F_059,Southern,Beans,1.58,Chemical,22.1,16633.0,3296.0,450,1483200.0,1466567.0
F_060,Eastern,Cassava,0.92,Organic,65.0,10756.0,2959.0,250,739750.0,728994.0
F_061,Eastern,Maize,1.32,Chemical,60.3,31144.0,2881.0,400,1152400.0,1121256.0
F_062,Southern,Maize,4.71,None,14.9,37810.0,1822.0,300,546600.0,508790.0
F_063,Western,Cassava,3.37,Organic,15.7,18624.0,2063.0,450,928350.0,909726.0
F_064,Eastern,Potatoes,2.83,Chemical,71.5,24394.0,4619.0,350,1616650.0,1592256.0
F_065,Eastern,Potatoes,3.46,Chemical,68.2,22538.0,4215.0,400,1686000.0,1663462.0
F_066,Southern,Maize,2.46,Chemical,36.8,19729.0,3742.0,450,1683900.0,1664171.0
F_067,Eastern,Maize,3.79,Chemical,36.8,30310.0,3940.0,250,985000.0,954690.0
F_068,Eastern,Potatoes,0.71,Chemical,57.7,33081.0,3846.0,250,961500.0,928419.0
F_069,Southern,Potatoes,3.05,Organic,49.8,18051.0,2677.0,250,669250.0,651199.0
F_070,Southern,Cassava,1.21,Organic,65.8,25358.0,3048.0,250,762000.0,736642.0
F_071,Kigali,Cassava,1.04,Organic,57.2,35276.0,1527.0,350,534450.0,499174.0
F_072,Western,Potatoes,2.04,None,73.7,30512.0,2910.0,400,1164000.0,1133488.0
F_073,Western,Cassava,0.91,Organic,64.6,31702.0,4183.0,300,1254900.0,1223198.0
F_074,Eastern,Cassava,0.92,Organic,60.8,35944.0,2339.0,350,818650.0,782706.0
F_075,Western,Beans,1.9,Organic,44.7,35839.0,4023.0,350,1408050.0,1372211.0
F_076,Eastern,Cassava,4.91,Chemical,43.6,33229.0,3092.0,300,927600.0,894371.0
F_077,Kigali,Maize,1.29,Chemical,49.2,26159.0,1615.0,300,484500.0,458341.0
F_078,Southern,Cassava,0.58,Chemical,77.6,21940.0,1893.0,250,473250.0,451310.0
F_079,Southern,Cassava,3.94,Chemical,43.9,25828.0,3919.0,350,1371650.0,1345822.0
F_080,Southern,Potatoes,4.13,Chemical,53.9,20725.0,3553.0,450,1598850.0,1578125.0
F_081,Western,Maize,2.06,Chemical,16.3,9380.0,3102.0,300,930600.0,921220.0
F_082,Kigali,Cassava,2.59,None,60.1,22764.0,2726.0,300,817800.0,795036.0
F_083,Western,Cassava,3.42,Organic,83.9,27860.0,3211.0,400,1284400.0,1256540.0
F_084,Western,Beans,0.72,Chemical,36.0,20302.0,3880.0,450,1746000.0,1725698.0
F_085,Kigali,Cassava,4.77,Chemical,97.6,23458.0,4476.0,450,2014200.0,1990742.0
F_086,Kigali,Cassava,4.49,Chemical,52.7,23768.0,4524.0,300,1357200.0,1333432.0
F_087,Kigali,Beans,1.67,Chemical,11.4,35855.0,3372.0,250,843000.0,807145.0
F_088,Kigali,Potatoes,0.57,Chemical,44.2,22125.0,2828.0,400,1131200.0,1109075.0
F_089,Southern,Cassava,4.7,None,70.0,35853.0,3146.0,450,1415700.0,1379847.0
F_090,Northern,Beans,2.75,Chemical,80.0,3300.0,3522.0,300,1056600.0,1053300.0
F_091,Northern,Maize,2.93,None,60.8,35783.0,3518.0,450,1583100.0,1547317.0
F_092,Kigali,Potatoes,3.58,None,73.5,35379.0,4308.0,400,1723200.0,1687821.0
F_093,Northern,Maize,3.27,Chemical,32.3,32218.0,5116.0,400,2046400.0,2014182.0
F_094,Northern,Maize,4.75,Organic,39.8,8905.0,2795.0,350,978250.0,969345.0
F_095,Kigali,Beans,4.75,Organic,24.8,33151.0,5156.0,300,1546800.0,1513649.0
F_096,Northern,Cassava,4.4,Chemical,40.9,24599.0,4172.0,400,1668800.0,1644201.0
F_097,Western,Beans,3.36,Chemical,61.4,4765.0,2899.0,350,1014650.0,1009885.0
F_098,Eastern,Beans,4.1,Organic,53.2,35385.0,4499.0,350,1574650.0,1539265.0
F_099,Eastern,Beans,3.55,Organic,63.0,36553.0,4686.0,450,2108700.0,2072147.0
F_100,Kigali,Beans,3.08,None,36.0,9764.0,2540.0,450,1143000.0,1133236.0
F_101,Southern,Potatoes,1.08,None,36.9,26403.0,4732.0,350,1656200.0,1629797.0
F_102,Kigali,Cassava,4.15,Organic,53.1,36109.0,4075.0,450,1833750.0,1797641.0
F_103,Southern,Maize,4.19,None,41.0,34841.0,5369.0,400,2147600.0,2112759.0
F_104,Eastern,Maize,3.32,Organic,69.5,31688.0,2576.0,250,644000.0,612312.0
F_105,Kigali,Cassava,4.19,Organic,40.6,3822.0,2647.0,400,1058800.0,1054978.0
F_106,Western,Maize,3.43,Organic,42.6,30836.0,973.0,350,340550.0,309714.0
F_107,Northern,Cassava,1.43,Chemical,56.3,23255.0,3571.0,350,1249850.0,1226595.0
F_108,Southern,Maize,1.73,Organic,44.2,32967.0,3375.0,400,1350000.0,1317033.0
F_109,Northern,Beans,1.47,Organic,31.5,27049.0,2437.0,450,1096650.0,1069601.0
F_110,Northern,Maize,2.2,Chemical,33.5,24841.0,2918.0,450,1313100.0,1288259.0
F_111,Kigali,Cassava,0.68,None,58.1,30127.0,1689.0,350,591150.0,561023.0
F_112,Northern,Cassava,3.28,Chemical,29.6,23625.0,4198.0,300,1259400.0,1235775.0
F_113,Western,Cassava,2.01,Organic,71.0,24806.0,2510.0,450,1129500.0,1104694.0
F_114,Northern,Cassava,3.45,Organic,39.6,20558.0,6094.0,400,2437600.0,2417042.0
F_115,Kigali,Cassava,2.23,Organic,59.2,12157.0,2824.0,450,1270800.0,1258643.0
F_116,Western,Potatoes,3.57,Chemical,40.5,29543.0,2240.0,400,896000.0,866457.0
F_117,Eastern,Potatoes,2.03,None,36.3,18552.0,2588.0,350,905800.0,887248.0
F_118,Northern,Maize,1.67,Organic,53.7,23394.0,1588.0,450,714600.0,691206.0
F_119,Kigali,Cassava,2.73,Chemical,65.8,27296.0,3482.0,400,1392800.0,1365504.0
F_120,Eastern,Maize,3.62,Chemical,46.3,8318.0,2580.0,350,903000.0,894682.0
F_121,Eastern,Cassava,2.07,Organic,49.0,10109.0,4131.0,300,1239300.0,1229191.0
F_122,Southern,Cassava,4.71,Chemical,62.1,22602.0,2725.0,400,1090000.0,1067398.0
F_123,Western,Potatoes,0.68,Chemical,62.6,28637.0,4384.0,300,1315200.0,1286563.0
F_124,Northern,Potatoes,2.38,Organic,49.4,30952.0,3757.0,300,1127100.0,1096148.0
F_125,Kigali,Beans,4.85,Chemical,43.3,12269.0,3029.0,250,757250.0,744981.0
F_126,Southern,Potatoes,2.97,Organic,51.2,30093.0,4580.0,450,2061000.0,2030907.0
F_127,Western,Beans,2.41,Chemical,47.1,23039.0,3952.0,400,1580800.0,1557761.0
F_128,Southern,Beans,3.06,Organic,54.7,17935.0,5946.0,300,1783800.0,1765865.0
F_129,Western,Beans,3.09,Chemical,32.1,19812.0,2591.0,250,647750.0,627938.0
F_130,Western,Beans,3.79,Organic,54.2,31415.0,3077.0,350,1076950.0,1045535.0
F_131,Northern,Beans,1.07,Chemical,39.2,27192.0,4569.0,400,1827600.0,1800408.0
F_132,Western,Maize,1.63,Organic,63.6,25402.0,1456.0,300,436800.0,411398.0
F_133,Southern,Potatoes,3.11,Chemical,39.9,26948.0,4317.0,450,1942650.0,1915702.0
F_134,Western,Beans,4.4,None,40.2,32425.0,3439.0,250,859750.0,827325.0
F_135,Northern,Cassava,3.03,Organic,56.7,24223.0,2112.0,300,633600.0,609377.0
F_136,Northern,Potatoes,1.57,None,50.2,25435.0,1637.0,450,736650.0,711215.0
F_137,Southern,Potatoes,3.56,Organic,84.1,34105.0,2328.0,300,698400.0,664295.0
F_138,Eastern,Beans,3.83,Chemical,25.6,22347.0,715.0,400,286000.0,263653.0
F_139,Eastern,Maize,1.57,None,51.6,29945.0,2510.0,400,1004000.0,974055.0
F_140,Western,Beans,2.2,Chemical,66.9,20970.0,3623.0,400,1449200.0,1428230.0
F_141,Kigali,Maize,2.9,Chemical,41.3,21673.0,2524.0,250,631000.0,609327.0
F_142,Western,Cassava,2.73,Chemical,36.3,24168.0,4388.0,400,1755200.0,1731032.0
F_143,Southern,Potatoes,2.25,Organic,36.9,29122.0,4660.0,450,2097000.0,2067878.0
F_144,Southern,Cassava,1.84,Organic,25.8,34553.0,4276.0,300,1282800.0,1248247.0
F_145,Southern,Maize,0.95,Chemical,70.2,25772.0,3231.0,350,1130850.0,1105078.0
F_146,Southern,Maize,0.74,None,45.1,13001.0,675.0,450,303750.0,290749.0
F_147,Southern,Cassava,4.81,Chemical,43.3,30052.0,2296.0,450,1033200.0,1003148.0
F_148,Northern,Maize,4.31,Chemical,18.1,44631.0,2858.0,400,1143200.0,1098569.0
F_149,Eastern,Cassava,2.1,Chemical,28.5,25869.0,2106.0,250,526500.0,500631.0
F_150,Southern,Potatoes,4.81,Chemical,72.0,11330.0,2860.0,300,858000.0,846670.0
F_151,Kigali,Cassava,3.55,Chemical,54.5,26357.0,4610.0,250,1152500.0,1126143.0
F_152,Kigali,Potatoes,2.67,Organic,67.5,24976.0,1354.0,300,406200.0,381224.0
F_153,Kigali,Cassava,2.72,Organic,65.6,24303.0,4812.0,300,1443600.0,1419297.0
F_154,Kigali,Maize,0.87,Chemical,35.0,32563.0,3885.0,250,971250.0,938687.0
F_155,Northern,Cassava,0.91,Chemical,86.4,36026.0,3268.0,450,1470600.0,1434574.0
F_156,Kigali,Maize,3.21,Chemical,79.2,30469.0,2286.0,300,685800.0,655331.0
F_157,Southern,Cassava,2.99,None,41.5,23936.0,2126.0,250,531500.0,507564.0
F_158,Western,Cassava,1.46,Chemical,0.0,34005.0,1374.0,300,412200.0,378195.0
F_159,Kigali,Beans,4.76,Organic,44.7,13049.0,4717.0,350,1650950.0,1637901.0
F_160,Northern,Maize,4.02,None,53.6,19272.0,4538.0,450,2042100.0,2022828.0
F_161,Northern,Beans,1.01,Organic,41.5,20163.0,1594.0,400,637600.0,617437.0
F_162,Kigali,Maize,4.69,None,46.7,24752.0,2447.0,300,734100.0,709348.0
F_163,Western,Beans,4.88,Chemical,37.6,29054.0,3433.0,350,1201550.0,1172496.0
F_164,Kigali,Potatoes,4.98,Organic,63.8,23394.0,2700.0,400,1080000.0,1056606.0
F_165,Northern,Cassava,0.75,Organic,51.0,17752.0,1081.0,400,432400.0,414648.0
F_166,Eastern,Maize,3.82,Organic,64.3,32799.0,2342.0,300,702600.0,669801.0
F_167,Southern,Maize,2.96,Chemical,68.3,23116.0,4951.0,250,1237750.0,1214634.0
F_168,Northern,Cassava,3.68,Chemical,17.4,25817.0,2410.0,300,723000.0,697183.0
F_169,Kigali,Maize,4.86,Chemical,38.4,29409.0,2837.0,350,992950.0,963541.0
F_170,Southern,Maize,3.6,Organic,40.6,25311.0,1855.0,400,742000.0,716689.0
F_171,Kigali,Beans,4.27,None,88.6,25346.0,3588.0,300,1076400.0,1051054.0
F_172,Kigali,Maize,4.4,Organic,52.2,33244.0,3115.0,250,778750.0,745506.0
F_173,Eastern,Potatoes,4.27,Chemical,62.2,26211.0,2258.0,300,677400.0,651189.0
F_174,Southern,Potatoes,2.42,None,21.8,31902.0,1695.0,450,762750.0,730848.0
F_175,Southern,Cassava,1.5,Chemical,52.1,29357.0,4405.0,250,1101250.0,1071893.0
F_176,Eastern,Maize,2.28,Chemical,64.7,41135.0,1394.0,350,487900.0,446765.0
F_177,Northern,Cassava,4.51,Chemical,62.9,28275.0,3504.0,400,1401600.0,1373325.0
F_178,Kigali,Potatoes,1.16,Organic,59.4,30104.0,846.0,300,253800.0,223696.0
F_179,Western,Maize,2.81,Chemical,50.2,33813.0,3707.0,250,926750.0,892937.0
F_180,Kigali,Maize,1.55,Organic,50.9,25509.0,3970.0,450,1786500.0,1760991.0
F_181,Kigali,Cassava,3.12,None,24.6,19897.0,4095.0,250,1023750.0,1003853.0
F_182,Northern,Potatoes,4.38,Chemical,36.5,21207.0,2839.0,450,1277550.0,1256343.0
F_183,Kigali,Maize,4.46,Organic,53.5,21284.0,4584.0,350,1604400.0,1583116.0
F_184,Eastern,Cassava,1.57,Chemical,39.3,17397.0,5308.0,400,2123200.0,2105803.0
F_185,Eastern,Potatoes,4.58,Chemical,60.3,27542.0,2678.0,350,937300.0,909758.0
F_186,Southern,Cassava,3.16,Chemical,57.0,19964.0,2549.0,300,764700.0,744736.0
F_187,Western,Beans,2.08,Chemical,70.5,26559.0,3149.0,250,787250.0,760691.0
F_188,Kigali,Maize,3.69,Organic,64.4,23731.0,2522.0,450,1134900.0,1111169.0
F_189,Kigali,Beans,2.67,Chemical,53.4,24667.0,2376.0,450,1069200.0,1044533.0
F_190,Northern,Potatoes,2.2,Organic,61.2,29448.0,2463.0,250,615750.0,586302.0
F_191,Eastern,Beans,3.67,Organic,65.1,20665.0,4716.0,250,1179000.0,1158335.0
F_192,Western,Beans,1.62,Organic,42.4,30111.0,3772.0,300,1131600.0,1101489.0
F_193,Southern,Potatoes,1.99,Organic,45.1,37538.0,2519.0,350,881650.0,844112.0
F_194,Eastern,Cassava,2.46,Organic,48.5,27745.0,545.0,450,245250.0,217505.0
F_195,Southern,Beans,1.64,Chemical,42.9,18743.0,1456.0,300,436800.0,418057.0
F_196,Northern,Cassava,2.32,Chemical,65.2,20080.0,3503.0,350,1226050.0,1205970.0
F_197,Northern,Beans,3.07,None,40.6,23014.0,878.0,300,263400.0,240386.0
F_198,Kigali,Cassava,3.83,Organic,68.8,20241.0,3293.0,450,1481850.0,1461609.0
F_199,Western,Potatoes,3.95,Chemical,44.5,17071.0,1934.0,250,483500.0,466429.0
F_200,Southern,Beans,4.2,Chemical,57.1,26235.0,3092.0,250,773000.0,746765.0
